	EvolvedRecipeName_CN = {
	EvolvedRecipeName_Base.CannedBologneseOpen = "肉酱罐头(打开)",
	EvolvedRecipeName_Base.CannedCarrotsOpen = "胡萝卜罐头(打开)",
	EvolvedRecipeName_Base.CannedChiliOpen = "辣酱罐头(打开)",
	EvolvedRecipeName_Base.CannedCornOpen = "玉米罐头(打开)",
	EvolvedRecipeName_Base.CannedCornedBeefOpen = "咸牛肉罐头(打开)",
	EvolvedRecipeName_Base.CannedPeasOpen = "豌豆罐头(打开)",
	EvolvedRecipeName_Base.CannedPotatoOpen = "土豆罐头(打开)",
	EvolvedRecipeName_Base.CannedSardinesOpen = "沙丁鱼罐头(打开)",
	EvolvedRecipeName_Base.CannedTomatoOpen = "番茄罐头(打开)",
	EvolvedRecipeName_Base.Teabag2 = "茶",
}
